#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA20752	EUR	EUR	0	0	0.0011	0	0.9989	2.6523	13.7599	4.7127	9.9129	0.6429	-7.935	-4.0263	2.5165	-1.5864	-2.8358
HG03117	AFR	AFR	0	1	0	0	0	62.8494	-15.8651	-0.0772	1.8584	1.0697	-2.2494	-5.6513	7.3976	-0.1484	-2.1337
HG01393	AMR	AMR	0	0.0119	0.9881	0	0	13.6169	-0.1314	6.6481	0.0761	5.6496	-2.5481	-5.8985	7.4565	-1.6615	-4.6817
HG02116	EAS	EAS	1	0	0	0	0	-7.1614	-42.5558	1.561	8.5266	9.5244	-3.5824	-2.6659	3.0395	1.9664	-3.6289
HG04042	SAS	SAS	0	0	0	1	0	1.9454	-7.9325	-19.6395	-5.9741	-2.9822	-0.7126	-6.826	3.6002	-1.1361	-2.2532
HG00978	EAS	EAS	1	0	0	0	0	-8.7215	-43.246	1.0173	8.596	6.2161	-5.2575	-6.439	4.9939	0.5506	-1.2559
NA19385	AFR	AFR	0	0.9999	1e-4	0	0	59.2542	-17.214	-0.5348	1.8017	4.6129	-6.9751	-8.6841	-0.7161	-0.593	3.0127
HG01607	EUR	EUR	0	0	0.2579	1e-4	0.742	2.0404	11.586	4.9027	9.6854	5.937	-4.8821	-6.5764	9.1877	-0.4259	-3.4769
NA18574	EAS	EAS	1	0	0	0	0	-9.0224	-44.9511	2.7311	5.4743	-0.523	-2.2397	-0.5698	3.6808	-2.377	-3.6948
HG01489	AMR	AMR	0	0	0.933	0.0013	0.0657	1.8243	4.8921	5.8326	2.5561	0.9784	-4.175	-5.3431	6.6223	-1.0971	-1.1534
HG02318	AFR	AFR	0	1	0	0	0	58.9837	-17.2234	0.2399	2.1324	0.8846	-1.9303	-3.034	5.281	-0.1319	-1.9828
HG01973	AMR	AMR	0	7e-4	0.9993	0	0	-5.4502	-19.2876	21.6409	-31.764	2.7779	-1.9381	-5.662	8.579	-0.7187	-4.9739
HG03052	AFR	AFR	0	1	0	0	0	62.3128	-16.776	-1.3633	2.1092	1.1926	-3.957	-2.1117	2.8088	-2.4463	0.1386
HG03297	AFR	AFR	0	0.9999	1e-4	0	0	63.4334	-18.1238	0.4275	1.1949	1.8132	-3.9579	-7.0502	3.7098	0.1966	-1.1312
HG02837	AFR	AFR	0	1	0	0	0	61.6136	-16.9221	-1.9587	2.0359	3.1356	-2.5213	-0.5838	8.0864	-3.2187	-1.495
HG00651	EAS	EAS	1	0	0	0	0	-7.4042	-45.6703	4.8896	6.7461	4.8962	-4.7259	-4.3632	1.0851	0.0206	-5.4937
NA20589	EUR	EUR	0	0	0.0292	0	0.9708	1.4325	12.2144	2.0072	7.9141	-0.1274	-7.7022	-2.9457	6.7913	-1.9537	-2.796
HG03163	AFR	AFR	0	1	0	0	0	63.7799	-17.8652	-0.2573	1.7907	3.5662	-3.5232	-4.1696	5.4687	-0.4972	-2.0291
HG03473	AFR	AFR	0	1	0	0	0	63.9671	-17.3443	-0.8448	-0.0202	3.7427	-1.7874	-2.5448	5.6935	0.3872	0.9737
HG01802	EAS	EAS	1	0	0	0	0	-7.0825	-44.9911	0.9321	7.5344	7.0072	-1.6051	-3.1733	5.5919	-3.2703	-1.7928
HG04054	SAS	SAS	0	0	0	1	0	2.3515	-9.9244	-22.0626	-6.2723	6.2453	-4.3069	-1.9926	4.1234	4.2518	3.6118
NA19131	AFR	AFR	0	0.9998	2e-4	0	0	63.0597	-17.8629	0.9191	1.4756	-0.3769	-1.2526	-2.4441	7.2234	-1.3532	-3.2303
HG00119	EUR	EUR	0	0	0.0185	0	0.9815	-0.5903	12.3084	6.5057	9.9012	3.0427	-0.8898	-6.4779	2.6854	-0.9736	-2.9161
NA19058	EAS	EAS	1	0	0	0	0	-7.3204	-42.9823	3.3331	4.789	-1.4447	-0.9777	-8.2034	0.983	2.6398	1.6894
NA07357	EUR	EUR	0	0	0.001	0	0.999	-0.4514	13.0848	5.484	8.1962	4.905	-0.5741	-4.7611	5.6444	-8.2284	1.3417
HG02974	AFR	AFR	0	0.9999	1e-4	0	0	62.2437	-17.9819	-0.0146	3.2044	1.7009	-4.3259	-5.058	2.8262	2.826	-4.489
HG00881	EAS	EAS	1	0	0	0	0	-6.7623	-44.6133	0.4173	10.0569	10.0505	-4.0071	-3.1671	5.1456	-1.9176	-1.2981
NA19728	AMR	AMR	0	0.002	0.998	0	0	-6.4579	-22.1321	21.2762	-33.3499	2.9812	2.9996	-2.2993	2.2047	-3.4813	-1.8584
HG02259	AMR	AMR	0	1e-4	0.9999	0	0	-8.8765	-26.2217	23.2864	-38.6032	3.7546	-1.6419	-4.6775	8.1934	1.9786	-2.709
NA20802	EUR	EUR	0	0	0.1091	0	0.8909	2.1698	12.4587	5.4861	9.5522	1.2866	-8.179	-4.5239	11.1569	-2.2845	3.7064
HG03995	SAS	SAS	0	0	0	1	0	1.8165	-9.6034	-21.7942	-4.2478	2.7917	0.5738	-4.1199	5.2847	0.5614	-3.2106
HG01874	EAS	EAS	1	0	0	0	0	-7.9218	-42.4447	1.1417	5.7768	6.2594	-2.4225	-6.052	5.1969	0.6063	-1.8673
HG03452	AFR	AFR	0	1	0	0	0	61.8579	-17.5418	0.1423	1.0475	0.5435	-3.8826	-2.604	6.5549	-3.5686	-4.7333
HG02699	SAS	SAS	0	0	0	1	0	0.197	0.5072	-11.6192	-1.9693	2.2371	-0.7133	-6.2301	4.6139	-3.2148	-2.2004
HG02102	AMR	AMR	0	2e-4	0.9998	0	0	-5.6316	-21.1618	21.2121	-30.9394	1.2429	-2.7791	-0.9402	1.9504	-2.58	-0.5645
HG03644	SAS	SAS	0	0	0	1	0	1.4483	-9.1542	-18.7333	-4.3077	-1.2724	-2.422	0.5556	7.5431	-4.8239	-3.8032
HG03672	SAS	SAS	0	0	0	1	0	1.6049	-9.9532	-19.3723	-7.1574	0.8373	-1.3598	-4.3564	2.6159	1.5283	-2.3754
HG03048	AFR	AFR	0	1	0	0	0	62.1596	-16.7324	0.253	1.2795	-1.2447	-2.0409	-0.9522	3.9821	-4.4545	1.9571
HG01992	AMR	AMR	0	0.0045	0.9955	0	0	-6.1933	-19.8277	23.3998	-34.9755	2.6705	-2.1842	-5.4362	2.3478	-0.0641	-3.91
HG01515	EUR	EUR	0	0	0.0047	0	0.9953	0.3433	14.6988	6.3611	9.8308	1.2539	-3.8334	-3.4729	3.9584	0.9166	0.3264
HG00620	EAS	EAS	1	0	0	0	0	-7.51	-45.9644	1.7194	8.0374	2.5454	-0.8311	-1.3423	2.8905	-0.7579	-1.5354
HG03919	SAS	SAS	0	0	0	1	0	0.743	-8.1824	-16.3008	-4.9143	0.3123	-1.1798	-0.7824	5.5054	0.1785	0.8351
HG03691	SAS	SAS	0	0	0	1	0	0.9215	-11.2771	-18.9678	-4.3617	-1.875	-1.8811	-3.7766	4.7232	0.2165	0.9235
HG00137	EUR	EUR	0	0	0.0225	0.0028	0.9747	-0.6236	11.7471	3.6374	8.3132	-0.767	-0.6498	-7.0624	9.6121	-1.0541	0.0338
NA19401	AFR	AFR	0	0.9999	1e-4	0	0	59.0832	-17.3524	0.0734	0.7812	4.4762	-2.1123	-2.4007	1.8579	-0.6593	-2.0229
HG01766	EUR	EUR	1e-4	2e-4	0.0255	0	0.9741	1.7668	12.4928	5.8457	9.2021	-1.7315	-6.1308	-1.4074	3.7401	1.9798	-2.4057
HG02790	SAS	SAS	0	0	0	1	0	0.8851	-6.9947	-18.5502	-5.9661	2.4584	-1.4253	-3.8979	5.4669	-3.6341	-2.781
HG02285	AMR	AMR	0	0.0023	0.9977	0	0	-3.9869	-16.2705	21.4056	-29.7725	3.3334	-2.7943	-4.578	3.13	-0.7403	-3.7707
HG04227	SAS	SAS	0	0	0	1	0	0.895	-9.5758	-21.7804	-3.1187	4.3342	-2.511	-4.5691	5.512	-3.4941	-0.5597
HG01702	EUR	EUR	0	0	0.0648	0	0.9352	-0.1437	11.9224	7.3634	10.3524	1.838	-4.3619	-6.1973	3.5676	-0.8543	-1.5416
HG01500	EUR	EUR	0	0	0.0022	0	0.9978	3.1618	10.4261	6.7057	10.2641	-0.803	-8.1749	-0.7832	5.5711	3.5299	0.2144
NA19000	EAS	EAS	1	0	0	0	0	-6.7363	-43.8459	4.7356	4.6143	-4.834	-0.085	-6.3144	2.4424	-2.9426	-0.59
NA19031	AFR	AFR	0	0.9999	1e-4	0	0	59.3943	-16.1178	0.648	1.097	2.6837	-4.014	-4.3567	0.824	-1.3186	-0.7652
HG04176	SAS	SAS	0	0	0	1	0	1.2853	-12.1824	-15.6032	-1.7735	4.9938	-1.7511	-0.8777	7.764	-0.9234	-1.5536
NA21130	SAS	SAS	0	0	0	1	0	0.9964	-4.6344	-18.1605	-5.5126	3.6252	0.1629	-7.536	6.2098	-1.8195	0.0563
HG00343	EUR	EUR	0	0	1e-4	0	0.9999	-0.2807	8.9888	7.0191	8.8843	2.1029	9.0929	-5.2298	-0.3206	-2.5574	2.0713
HG01805	EAS	EAS	1	0	0	0	0	-7.1668	-43.0536	1.0472	8.2993	9.6493	-5.2253	-3.6777	5.7998	-3.0056	-0.8817
NA18510	AFR	AFR	0	1	0	0	0	63.149	-18.6236	0.6178	1.2606	4.3856	0.5431	-4.0281	4.7334	-0.2541	-2.9721
HG01513	EUR	EUR	0	0	0.0578	0	0.9422	0.4341	12.3543	6.2639	9.6506	4.2394	-3.4943	-4.4351	0.8445	0.4352	-4.9523
NA21129	SAS	SAS	0	0	0	1	0	-0.1798	-6.0662	-19.0643	-5.4823	3.6767	0.3043	-8.0458	5.5097	-3.5142	-3.8728
HG03012	SAS	SAS	0	0	0	1	0	1.9732	-13.366	-18.2282	-1.3834	-1.1579	-7.6012	-7.5443	5.2774	2.513	-0.941
HG01840	EAS	EAS	1	0	0	0	0	-8.0348	-43.2413	1.4852	8.5173	3.4151	0.1487	0.8634	0.118	-0.2937	-2.5503
HG00407	EAS	EAS	1	0	0	0	0	-7.7003	-44.9833	1.1168	7.1737	2.3792	-1.2777	-7.3991	1.35	0.0248	-1.8971
HG01624	EUR	EUR	0	0	0.062	0	0.938	4.0964	12.9877	5.7907	8.9243	0.4834	-10.1559	-3.2252	3.1553	2.8441	-1.2688
HG01134	AMR	AMR	0	8e-4	0.9991	0	0	5.8761	0.5798	9.1407	-1.6705	3.9926	-7.4208	-2.2599	4.5025	-0.5573	-4.1335
HG03687	SAS	SAS	0	0	0	1	0	1.3411	-7.9134	-19.3326	-4.3944	3.5402	-2.5228	-3.2782	4.4552	3.8272	-0.129
NA18626	EAS	EAS	1	0	0	0	0	-6.783	-44.1273	2.7357	6.994	-3.9943	0.6251	-7.6022	2.2435	-2.5924	-2.0281
HG00265	EUR	EUR	0	0	0.0084	0	0.9916	0.1121	12.5239	5.8853	9.7738	-1.5733	-2.7511	0.6288	8.2431	1.3538	0.6367
HG02398	EAS	EAS	1	0	0	0	0	-6.9722	-43.7074	1.6588	7.6486	7.5425	-6.4709	-2.5931	3.9113	1.9506	-1.785
NA12414	EUR	EUR	0	0	4e-4	0	0.9996	-1.496	11.4834	3.5632	6.3579	2.4127	1.6883	-1.3923	3.1932	-0.6094	-2.0013
HG03196	AFR	AFR	0	0.9996	4e-4	0	0	61.904	-16.9459	0.0015	0.4686	1.5701	-0.8257	-8.4094	4.3844	-1.6417	-1.4625
HG03823	SAS	SAS	0	0	0	1	0	-0.2983	-10.4548	-16.8502	-3.055	0.6064	-5.2563	-0.2576	2.8206	-1.9932	-1.3671
NA18745	EAS	EAS	1	0	0	0	0	-8.7845	-44.1372	3.1371000000000002	6.5256	-0.7721	-3.0838	-3.7237	8.7757	-5.878	0.1407
HG02667	AFR	AFR	0	0.9999	1e-4	0	0	60.4733	-16.6454	0.8184	0.8633	2.2305	-0.0487	2.8654	3.5572	-1.219	-1.611
NA18995	EAS	EAS	1	0	0	0	0	-7.2468	-42.5843	3.4768	6.1733	-2.2631	-1.8037	-5.4524	6.5958	-4.7773	-2.917
HG03235	SAS	SAS	0	0	0	1	0	0.4951	-2.4225	-13.0117	-3.5398	2.0187	-2.7019	-3.3326	4.9514	-0.7577	-1.2414
HG01961	AMR	AMR	0	0.0012	0.9988	0	0	-8.4867	-24.566	23.4316	-39.5991	5.6272	-1.4813	-0.5455	3.1347	-0.2584	-2.6928
HG01684	EUR	EUR	0	0	0.008	0	0.992	1.1066	13.5715	6.2357	8.9458	-1.8097	-4.8394	-2.0235	6.5607	-4.4338	-1.0332
HG01257	EUR	AMR	0	0	0.4383	0	0.5617	-0.8236	3.5682	9.6278	-3.2739	5.0162	-5.795	-3.6906	7.1295	-0.5507	-1.5844
HG01402	AMR	AMR	0	0	0.9601	0	0.0399	10.195	1.5102	7.2504	-1.889	0.2985	-3.3658	-2.8864	1.7501	-1.1449	-1.7736
NA18874	AFR	AFR	0	0.9999	1e-4	0	0	62.3909	-17.8522	-0.6963	1.1988	-1.1194	-2.1295	-3.3984	5.8136	-2.8019	-0.6872
HG01342	AMR	AMR	0	0.049	0.951	0	0	19.4312	-6.2429	5.9116	-5.2068	4.2317	-0.6018	-6.9606	3.5502	-2.2125	-3.555
HG00342	EUR	EUR	0	0	0.0404	0	0.9596	-2.0568	7.5992	4.6373	10.8242	7.8689	6.8911	-4.2074	3.7367	-2.2301	-4.0582
NA18963	EAS	EAS	1	0	0	0	0	-7.5287	-43.4464	2.7318	6.3948	-7.6816	-2.915	-11.023	3.9088	-3.2729	-2.1782
NA18570	EAS	EAS	1	0	0	0	0	-8.7362	-44.7852	3.5695	7.8633	2.1289	-2.2666	-4.0971	6.8691	-1.5191	-3.3601
NA18599	EAS	EAS	1	0	0	0	0	-6.8836	-43.4446	3.4674	5.254	-3.7499	0.1357	-2.7479	5.1801	-3.223	-0.4923
HG01137	AMR	AMR	0	0	1	0	0	-1.4914	-0.114	11.3025	-9.6814	1.2493	-6.7475	-6.0001	8.4269	-2.8141	-4.6758
HG00613	EAS	EAS	1	0	0	0	0	-8.3734	-44.0882	2.0988	6.6792	0.7286	-4.2869	0.9143	3.3564	-4.2035	-2.8703
HG01672	EUR	EUR	0	0	0.0094	0	0.9906	0.4232	13.7126	5.9564	7.4907	0.5917	-3.1812	-2.3686	5.7631	-1.1136	-0.5364
HG01067	AMR	AMR	1e-4	0.0234	0.9764	0	0	5.9499	3.4063	6.6713	3.5212	3.8163	-5.5041	-6.6437	3.6455	-0.9088	-4.0878
HG03789	SAS	SAS	0	0	0	1	0	0.3899	-5.5872	-15.3493	-4.7163	0.2279	-3.7495	0.4425	2.8004	-0.8321	-3.186
HG03999	SAS	SAS	0	0	0	1	0	3.1882	-9.5072	-20.471800000000002	-6.0656	-0.5487	-0.8623	-7.1912	4.2855	-2.3355	-2.3187
NA18945	EAS	EAS	1	0	0	0	0	-7.2948	-42.414	3.5878	5.5943	-5.7955	-4.3221	-6.2846	0.3348	1.9691	1.9113
HG03772	SAS	SAS	0	0	0	1	0	1.0675	-8.5681	-23.1143	-6.4077	1.0891	-4.1877	-0.6877	6.6483	-3.6518	5.341
NA20901	SAS	SAS	0	0	0	1	0	-0.0058	-4.9763	-15.4102	-6.5407	-2.5724	-2.2564	-5.1335	3.283	-0.6693	-0.7373
NA18867	AFR	AFR	0	1	0	0	0	62.6695	-17.6042	-0.4194	1.9075	2.3801	-3.0923	-5.4754	5.3703	-1.2537	1.3953
NA11881	EUR	EUR	0	0	0.0188	0	0.9812	0.9744	13.5315	5.358	8.1792	0.2907	0.9182	-5.6357	8.3828	-2.4696	-0.452
HG00109	EUR	EUR	0	0	0.1988	0	0.8011	0.6788	14.5562	7.1394	8.3806	3.4687	1.3299	-1.9917	1.7427	-1.4967	-1.7913
NA19383	AFR	AFR	0	1	0	0	0	59.3257	-17.9899	0.0864	2.2648	4.5802	-6.3711	-3.4759	2.5082	-2.6413	0.6847
HG03745	SAS	SAS	0	0	0	1	0	1.2308	-8.1337	-21.378	-4.3916	0.7922	-3.6159	-3.4704	-0.5231	-3.1914	-3.6386
NA19025	AFR	AFR	0	1	0	0	0	59.2491	-15.734	0.2975	2.1775	5.3851	-3.215	-6.6963	-0.7947	1.7234	-3.8119
NA18566	EAS	EAS	1	0	0	0	0	-7.7843	-43.6249	3.0562	5.5553	-1.2607	-2.2709	-4.203	2.1628	-0.8248	1.4503
NA19026	AFR	AFR	0	0.9989	0.0011	0	0	59.6324	-15.3354	0.5549	0.6448	1.7147	-3.7276	-4.0132	-0.2139	-2.7576	-0.5734
HG03848	SAS	SAS	0	0	0	1	0	1.5986	-8.2464	-20.6961	-4.7105	1.3489	-3.1577	-2.7471	0.6952	0.0617	3.7357
NA20541	EUR	EUR	0	0	0.0033	0	0.9967	0.4809	11.5002	3.9907	8.4297	-0.2845	-8.537	-7.8921	3.6896	-4.9072	-0.2315
NA19759	AMR	AMR	0	7e-4	0.9993	0	0	-3.4312	-18.5481	16.9002	-25.5522	1.2973	0.0221	-6.7514	0.5193	-3.3446	1.1397
HG01108	AFR	AMR	0	0.7226	0.2774	0	0	39.2826	-9.7786	2.8928	-0.2993	0.6067	-4.0772	-1.819	5.4984	-5.2159	-6.6041
HG04060	SAS	SAS	0	0	0	1	0	1.6213	-5.4956	-15.8082	-4.0704	1.6801	-3.8909	-3.684	6.4134	-2.8806	-2.0432
HG03604	SAS	SAS	0	0	0	1	0	1.5627	-11.732	-16.5647	-4.5743	3.5966	-1.19	-2.2758	6.5951	-3.6598	-1.8496
HG03830	SAS	SAS	0	0	0	1	0	0.6211	-14.1373	-15.5954	-1.7677	3.4185	-0.9625	-4.1985	5.7076	0.6812	-2.9806
HG01566	AMR	AMR	0	0.0084	0.9916	0	0	-2.2342	-6.083	15.0321	-12.4892	0.5641	-4.4775	-3.6421	6.5369	-1.0295	-2.8003
HG02654	SAS	SAS	0	0	0	1	0	0.7277	1.1554	-13.1064	-2.8574	2.334	2.4708	-4.6176	5.7868	-2.7328	2.3073
HG02073	EAS	EAS	1	0	0	0	0	-7.7279	-43.9937	-0.2105	7.0177	5.3699	-5.3898	-3.4469	4.5921	-2.8378	-1.3116
HG01699	EUR	EUR	0	0	0.0328	0	0.9672	2.7547	13.0199	3.8424	7.6545	0.9769	-6.5046	-4.6394	6.1264	-0.054	-2.5368
HG01586	SAS	SAS	0	0	0	1	0	2.5559	-2.0223	-12.661	-2.2879	1.2417	-6.1503	-4.3749	-0.1979	-4.5873	4.5257
HG02401	EAS	EAS	1	0	0	0	0	-8.4378	-44.6956	1.2937	8.1977	8.9322	-7.2899	-6.4553	5.127	-0.8052	-0.5431
HG01064	AMR	AMR	1e-4	0.0025	0.8648	0.0017	0.131	10.8871	5.7639	5.759	3.5555	1.8671	-8.935	-1.7424	5.15	-1.1334	-1.0874
HG00513	EAS	EAS	1	0	0	0	0	-7.0845	-45.0209	2.731	8.307	0.1849	-1.2619	-3.1438	4.3095	-0.9505	0.1639
NA12829	EUR	EUR	0	0	0.0013	0	0.9987	2.0983	13.1688	3.9999	8.9841	2.7636	-2.0562	-3.9019	0.7842	-0.5683	-4.2429
NA19764	AMR	AMR	0	0.0319	0.9681	0	0	0.021	-4.5866	11.8831	-8.9064	-2.6116	-1.1495	-0.9596	6.4769	-1.0094	-5.4232
HG03856	SAS	SAS	0	0	0	1	0	0.92490000000000006	-10.834	-21.0607	-6.9527	-3.8203	-1.9153	-2.7015	4.3128	1.7946	3.7113
NA20755	EUR	EUR	0	0	0.0037	0	0.9963	2.927	14.0532	3.4772	10.1246	1.6605	-8.0604	-3.5635	4.1129	-1.2309	2.3477
HG04238	SAS	SAS	0	0	0	1	0	1.362	-6.9345	-20.2332	-4.9357	5.421	-4.9011	-5.8459	0.1369	1.7053	2.4362
HG02878	AFR	AFR	0	1	0	0	0	60.872	-18.4321	0.7369	1.2301	1.1224	-1.2419	1.417	8.1681	-3.7629	-0.9909
NA19160	AFR	AFR	0	0.9996	4e-4	0	0	62.3331	-17.3009	1.4968	1.6164	1.9766	-0.375	-5.105	6.2332	-0.9137	-1.7386
HG03790	SAS	SAS	0	0	0	1	0	0.9994	-8.0126	-21.7737	-5.2829	-1.7816	-1.7321	-5.2744	2.8802	-0.9079	3.8643
NA19818	AFR	AFR	0	0.9785	0.0215	0	0	45.2043	-8.8288	2.1533	2.6884	-1.2041	-0.746	-5.436	4.8316	1.7455	-4.5616
HG02784	SAS	SAS	0	0	0	1	0	0.7673	-7.3148	-19.5069	-5.8636	2.4991	-3.5127	-7.1322	2.8172	-4.9775	-5.5089
HG01791	EUR	EUR	0	0	4e-4	0	0.9996	1.0094	12.5483	3.2471	8.4395	-0.8103	-3.7066	-5.6509	-0.3822	0.3079	1.9964
HG01700	EUR	EUR	0	0	0.0561	0	0.9439	-0.6786	12.0234	6.3742	9.3554	0.1874	-3.1062	-0.4227	5.9836	-0.0678	-0.2619
HG00335	EUR	EUR	0	0	2e-4	0	0.9998	-2.9299	10.7488	7.8469	8.074	1.7203	5.4764	-1.1043	4.4823	-2.3483	-3.7384
NA19121	AFR	AFR	0	1	0	0	0	63.0455	-18.8482	-1.3465	0.5256	1.1009	-3.2554	-3.8808	2.719	-0.1796	-0.7078
