sample_id	call_rate	het_rate	n_het	n_hom_alt	qc_flag
sample108	1	0.0581	474	248	PASS
sample109	1	0.0822	671	150	PASS
sample110	1	0.0779	636	169	PASS
sample111	1	0.0668	545	225	PASS
sample112	1	0.049	400	286	PASS
sample113	1	0.0725	592	222	PASS
sample114	1	0.0759	620	180	PASS
sample115	1	0.0334	273	364	PASS
sample116	1	0.0473	386	320	PASS
sample117	1	0.0693	566	212	PASS
sample118	1	0.0701	572	210	PASS
sample119	1	0.0693	566	221	PASS
sample120	1	0.0742	606	209	PASS
sample121	1	0.0745	608	210	PASS
sample122	1	0.0731	597	202	PASS
sample123	1	0.0802	655	154	PASS
sample124	1	0.0734	599	203	PASS
sample125	1	0.0742	606	195	PASS
sample126	1	0.0752	614	198	PASS
sample127	1	0.0805	657	184	PASS
sample128	1	0.0598	488	259	PASS
sample129	1	0.0724	591	201	PASS
sample130	1	0.0757	618	177	PASS
sample131	1	0.0659	538	214	PASS
sample132	1	0.0728	594	214	PASS
sample133	1	0.0817	667	151	PASS
sample134	1	0.0593	484	270	PASS
sample135	1	0.066	539	221	PASS
sample136	1	0.0661	540	221	PASS
sample137	1	0.071	580	193	PASS
sample138	1	0.0652	532	255	PASS
sample139	1	0.0659	538	244	PASS
sample140	1	0.0642	524	232	PASS
sample141	1	0.0675	551	221	PASS
sample142	1	0.0742	606	194	PASS
sample143	1	0.0748	611	172	PASS
sample144	1	0.0706	576	234	PASS
sample145	1	0.0719	587	199	PASS
sample146	1	0.0598	488	253	PASS
sample147	1	0.0453	370	331	PASS
sample148	1	0.0664	542	228	PASS
sample149	1	0.0728	594	207	PASS
sample150	1	0.0625	510	266	PASS
sample151	1	0.0637	520	250	PASS
sample152	1	0.0713	582	208	PASS
sample153	1	0.0654	534	226	PASS
sample154	1	0.0652	532	227	PASS
sample155	1	0.0691	564	204	PASS
sample156	1	0.0757	618	175	PASS
sample157	1	0.0773	631	192	PASS
sample158	1	0.0806	658	167	PASS
sample159	1	0.0769	628	177	PASS
sample160	1	0.0719	587	186	PASS
sample161	1	0.0773	631	170	PASS
sample162	1	0.0663	541	224	PASS
sample163	1	0.0708	578	203	PASS
sample164	1	0.0631	515	248	PASS
sample165	1	0.0739	603	201	PASS
sample166	1	0.0839	685	158	PASS
sample167	1	0.0755	616	176	PASS
sample168	1	0.0729	595	184	PASS
sample169	1	0.068	555	223	PASS
sample170	1	0.074	604	205	PASS
sample171	1	0.0682	557	222	PASS
sample172	1	0.0795	649	177	PASS
sample173	1	0.0801	654	186	PASS
sample174	1	0.0818	668	153	PASS
sample175	1	0.0657	536	233	PASS
sample176	1	0.0748	611	192	PASS
sample177	1	0.0699	571	212	PASS
sample178	1	0.0666	544	225	PASS
sample179	1	0.0712	581	212	PASS
sample180	1	0.0826	674	159	PASS
sample181	1	0.0753	615	208	PASS
sample182	1	0.0628	513	232	PASS
sample183	1	0.0731	597	194	PASS
sample184	1	0.0746	609	199	PASS
sample185	1	0.0649	530	237	PASS
sample186	1	0.0501	409	309	PASS
sample187	1	0.0627	512	243	PASS
sample188	1	0.0625	510	273	PASS
sample189	1	0.061	498	262	PASS
sample190	1	0.0696	568	222	PASS
sample191	1	0.0563	460	282	PASS
sample192	1	0.0734	599	203	PASS
sample193	1	0.0623	509	255	PASS
sample194	1	0.0696	568	207	PASS
sample195	1	0.0688	562	217	PASS
sample196	1	0.067	547	224	PASS
sample197	1	0.0682	557	202	PASS
sample198	1	0.0682	557	188	PASS
sample199	1	0.0767	626	192	PASS
sample200	1	0.0735	600	191	PASS
sample201	1	0.0407	332	333	PASS
sample202	1	0.0668	545	218	PASS
sample203	1	0.0686	560	196	PASS
sample204	1	0.0691	564	220	PASS
sample205	1	0.0627	512	234	PASS
sample206	1	0.0785	641	176	PASS
sample207	1	0.072	588	213	PASS
sample208	1	0.0568	464	263	PASS
sample209	1	0.0388	317	333	PASS
sample210	1	0.0767	626	153	PASS
sample211	1	0.0737	602	206	PASS
sample212	1	0.0625	510	262	PASS
sample213	1	0.074	604	201	PASS
sample214	1	0.0739	603	190	PASS
sample215	1	0.0658	537	215	PASS
sample216	1	0.0681	556	203	PASS
sample217	1	0.0518	423	298	PASS
sample218	1	0.0677	553	230	PASS
sample219	1	0.057	465	272	PASS
sample220	1	0.0686	560	202	PASS
sample221	1	0.0698	570	211	PASS
sample222	1	0.0582	475	273	PASS
sample223	1	0.0704	575	217	PASS
sample224	1	0.073	596	197	PASS
sample225	1	0.0772	630	191	PASS
sample226	1	0.0702	573	228	PASS
sample227	1	0.0597	487	274	PASS
sample228	1	0.0685	559	203	PASS
sample229	1	0.0631	515	251	PASS
sample230	1	0.12924772880173996	626	198	high_het
sample231	1	0.062	506	230	PASS
sample232	1	0.0516	421	297	PASS
sample233	1	0.0717	585	223	PASS
sample234	1	0.0633	517	233	PASS
sample235	1	0.0393	321	367	PASS
sample236	1	0.0736	601	214	PASS
sample237	1	0.0732	598	207	PASS
sample238	1	0.0276	225	378	PASS
sample239	1	0.062	506	230	PASS
sample240	1	0.0741	605	208	PASS
sample241	1	0.0795	649	183	PASS
sample242	1	0.0748	611	187	PASS
sample243	1	0.0799	652	178	PASS
sample244	1	0.0788	643	187	PASS
sample245	1	0.0393	321	338	PASS
sample246	1	0.0659	538	227	PASS
sample247	1	0.0737	602	187	PASS
sample248	1	0.0725	592	203	PASS
sample249	1	0.0484	395	296	PASS
sample250	1	0.0657	536	206	PASS
sample251	1	0.0714	583	208	PASS
sample252	1	0.0739	603	211	PASS
sample253	1	0.0616	503	226	PASS
sample254	1	0.075	612	170	PASS
sample255	1	0.0686	560	243	PASS
sample256	1	0.0642	524	250	PASS
sample257	1	0.0759	620	204	PASS
sample258	1	0.0682	557	221	PASS
sample259	1	0.0587	479	269	PASS
sample260	1	0.0672	549	221	PASS
sample261	1	0.0757	618	188	PASS
sample262	1	0.0701	572	220	PASS
sample263	1	0.0789	644	182	PASS
sample264	1	0.0631	515	246	PASS
sample265	1	0.0745	608	177	PASS
sample266	1	0.0416	340	343	PASS
sample267	1	0.073	596	197	PASS
sample268	1	0.0642	524	227	PASS
sample269	1	0.0663	541	233	PASS
sample270	1	0.0718	586	185	PASS
sample271	1	0.0726	593	219	PASS
sample272	1	0.0731	597	192	PASS
sample273	1	0.0731	597	228	PASS
sample274	1	0.0409	334	333	PASS
sample275	1	0.0768	627	171	PASS
sample276	1	0.0415	339	313	PASS
sample277	1	0.0746	609	197	PASS
sample278	1	0.0807	659	159	PASS
sample279	1	0.0811	662	167	PASS
sample280	1	0.0658	537	253	PASS
sample281	1	0.0775	633	152	PASS
sample282	1	0.0719	587	183	PASS
sample283	1	0.0717	585	223	PASS
sample284	1	0.0563	460	277	PASS
sample285	1	0.049	400	290	PASS
sample286	1	0.0612	500	258	PASS
sample287	1	0.0779	636	163	PASS
sample288	1	0.0717	585	197	PASS
sample289	1	0.0654	534	213	PASS
sample290	1	0.0757	618	190	PASS
sample291	1	0.069	563	226	PASS
sample292	1	0.0686	560	226	PASS
sample293	1	0.0626	511	258	PASS
sample294	1	0.0599	489	248	PASS
sample295	1	0.0713	582	187	PASS
sample296	1	0.0709	579	192	PASS
sample297	1	0.083	678	173	PASS
sample298	1	0.0797	651	178	PASS
sample299	1	0.0737	602	187	PASS
sample300	1	0.0832	679	144	PASS
sample301	1	0.0431	352	301	PASS
sample302	1	0.0742	606	202	PASS
sample303	1	0.0676	552	244	PASS
sample304	1	0.0616	503	258	PASS
sample305	1	0.0706	576	235	PASS
sample306	1	0.045	367	317	PASS
sample307	1	0.0723	590	199	PASS
sample308	1	0.0644	526	242	PASS
sample309	1	0.055	449	257	PASS
sample310	0.8251902915009439	0.065	531	216	low_call_rate
sample311	1	0.0708	578	214	PASS
sample312	1	0.0747	610	185	PASS
sample313	1	0.0611	499	212	PASS
sample314	1	0.0588	480	275	PASS
sample315	1	0.0606	495	253	PASS
sample316	1	0.083	678	166	PASS
sample317	1	0.0551	450	279	PASS
sample318	1	0.072	588	181	PASS
sample319	1	0.0725	592	209	PASS
sample320	1	0.063	514	245	PASS
sample321	1	0.073	596	185	PASS
sample322	1	0.0592	483	252	PASS
sample323	1	0.0702	573	190	PASS
sample324	1	0.0601	491	237	PASS
sample325	1	0.0745	608	192	PASS
sample326	1	0.0777	634	154	PASS
sample327	1	0.0499	407	301	PASS
sample328	1	0.0815	665	166	PASS
sample329	1	0.0715	584	202	PASS
sample330	1	0.0661	540	214	PASS
sample331	1	0.0859	701	140	PASS
sample332	1	0.0744	607	183	PASS
sample333	1	0.028	229	401	PASS
sample334	1	0.0723	590	197	PASS
sample335	1	0.0744	607	211	PASS
sample336	1	0.073	596	198	PASS
sample337	1	0.0721	589	192	PASS
sample338	1	0.069	563	214	PASS
sample339	1	0.0772	630	170	PASS
sample340	1	0.0751	613	189	PASS
sample341	1	0.0744	607	228	PASS
sample342	1	0.0681	556	239	PASS
sample343	1	0.081	661	146	PASS
sample344	1	0.0693	566	209	PASS
sample345	1	0.0525	429	287	sex_discordance
sample346	1	0.0813	664	172	PASS
sample347	1	0.0568	464	257	PASS
sample348	1	0.0752	614	177	PASS
sample349	1	0.0838	684	154	PASS
sample350	1	0.0735	600	198	PASS
sample351	1	0.0687	561	234	PASS
sample352	1	0.0748	611	199	PASS
sample353	1	0.0756	617	204	PASS
sample354	1	0.0605	494	269	PASS
sample355	1	0.0492	402	300	PASS
sample356	1	0.0824	673	146	PASS
sample357	1	0.0728	594	209	PASS
sample358	1	0.0715	584	205	PASS
sample359	1	0.0713	582	209	PASS
sample360	1	0.0747	610	196	PASS
sample361	1	0.0856	699	156	PASS
sample362	1	0.0781	638	174	PASS
sample363	1	0.0739	603	191	PASS
sample364	1	0.06	490	261	PASS
sample365	1	0.0816	666	157	PASS
sample366	1	0.059	482	245	PASS
sample367	1	0.0764	624	191	PASS
sample368	1	0.0732	598	212	PASS
sample369	1	0.0791	646	193	PASS
sample370	1	0.056	457	280	PASS
sample371	1	0.0729	595	198	PASS
sample372	1	0.0806	658	179	PASS
sample373	1	0.09280670650444436	494	246	high_het
sample374	1	0.0668	545	197	PASS
sample375	1	0.0762	622	183	PASS
sample376	1	0.0649	530	227	PASS
sample377	1	0.0835	682	179	PASS
sample378	1	0.0674	550	248	PASS
sample379	1	0.0631	515	237	PASS
sample380	1	0.0818	668	166	PASS
sample381	1	0.0571	466	272	PASS
sample382	1	0.0703	574	225	PASS
sample383	1	0.0741	605	173	PASS
sample384	1	0.0706	576	196	PASS
sample385	1	0.0693	566	191	PASS
sample386	1	0.0636	519	238	PASS
sample387	1	0.0641	523	229	PASS
sample388	1	0.0574	469	263	PASS
sample389	1	0.0778	635	190	PASS
sample390	1	0.0702	573	226	PASS
sample391	1	0.0601	491	273	PASS
sample392	1	0.0759	620	213	PASS
sample393	1	0.0552	451	280	PASS
sample394	1	0.0695	567	213	PASS
sample395	1	0.0712	581	230	PASS
sample396	1	0.0718	586	197	PASS
sample397	1	0.0601	491	258	PASS
sample398	1	0.0692	565	215	PASS
sample399	1	0.0573	468	287	PASS
sample400	1	0.054	441	265	PASS
sample401	1	0.0679	554	219	PASS
sample402	1	0.0647	528	229	PASS
sample403	1	0.085	694	146	PASS
sample404	1	0.0386	315	370	PASS
sample405	1	0.0691	564	209	PASS
sample406	1	0.0807	659	177	PASS
sample407	1	0.0766	625	205	PASS
sample408	1	0.0634	518	228	PASS
sample409	1	0.0601	491	230	PASS
sample410	1	0.0788	643	176	PASS
sample411	1	0.0654	534	231	PASS
sample412	1	0.0701	572	228	PASS
sample413	1	0.0381	311	358	PASS
sample414	1	0.0783	639	194	PASS
sample415	1	0.0617	504	242	PASS
sample416	1	0.0606	495	244	PASS
sample417	1	0.0706	576	217	PASS
sample418	1	0.0641	523	238	PASS
sample419	1	0.0652	532	249	PASS
sample420	1	0.0622	508	224	PASS
sample421	1	0.0773	631	176	PASS
sample422	1	0.0714	583	198	PASS
sample423	1	0.0692	565	194	PASS
sample424	1	0.0697	569	224	PASS
sample425	1	0.0721	589	214	PASS
sample426	1	0.0644	526	248	PASS
sample427	1	0.0517	422	264	PASS
sample428	1	0.0762	622	197	PASS
sample429	1	0.0832	679	144	PASS
sample430	1	0.056	457	262	PASS
sample431	1	0.0672	549	215	PASS
sample432	1	0.0599	489	257	PASS
sample433	1	0.061	498	269	PASS
sample434	1	0.0734	599	176	PASS
sample435	1	0.0439	358	321	PASS
sample436	1	0.0671	548	241	PASS
sample437	1	0.0472	385	298	PASS
sample438	1	0.0642	524	228	PASS
sample439	1	0.0501	409	316	PASS
sample440	1	0.0726	593	220	PASS
sample441	1	0.0505	412	303	PASS
sample442	1	0.065	531	233	PASS
sample443	1	0.0816	666	164	PASS
sample444	1	0.0768	627	175	PASS
sample445	1	0.0617	504	262	PASS
sample446	1	0.0779	636	188	PASS
sample447	1	0.0537	438	266	PASS
sample448	1	0.0676	552	213	PASS
sample449	1	0.0706	576	189	PASS
sample450	1	0.0725	592	209	PASS
sample451	1	0.0759	620	185	PASS
sample452	1	0.0764	624	189	PASS
sample453	1	0.0751	613	198	PASS
sample454	1	0.0685	559	199	PASS
sample455	1	0.0663	541	222	PASS
sample456	1	0.0808	660	168	PASS
sample457	1	0.0642	524	251	PASS
sample458	1	0.0845	690	146	PASS
sample459	1	0.0623	509	251	PASS
sample460	1	0.0609	497	247	PASS
sample461	1	0.0685	559	216	PASS
sample462	1	0.0579	473	258	PASS
sample463	1	0.0382	312	343	PASS
sample464	1	0.0567	463	270	PASS
sample465	1	0.0639	522	236	PASS
sample466	1	0.0757	618	190	PASS
sample467	1	0.0777	634	176	PASS
sample468	1	0.073	596	199	PASS
sample469	1	0.0719	587	184	PASS
sample470	1	0.0721	589	202	PASS
sample471	1	0.0683	558	234	PASS
sample472	1	0.0757	618	202	PASS
sample473	1	0.0649	530	235	PASS
sample474	1	0.068	555	246	PASS
sample475	1	0.059	482	269	PASS
sample476	1	0.0774	632	206	PASS
sample477	1	0.0644	526	232	PASS
sample478	1	0.0608	496	262	PASS
sample479	1	0.0735	600	206	PASS
sample480	1	0.0691	564	203	PASS
sample481	1	0.0592	483	255	PASS
sample482	1	0.0731	597	205	PASS
sample483	1	0.0621	507	233	PASS
sample484	1	0.0712	581	216	PASS
sample485	1	0.0752	614	205	PASS
sample486	1	0.0695	567	224	PASS
sample487	1	0.061	498	267	PASS
sample488	1	0.0753	615	187	PASS
sample489	1	0.0717	585	205	PASS
sample490	1	0.0761	621	177	PASS
sample491	1	0.0605	494	257	PASS
sample492	1	0.0834	681	140	PASS
sample493	1	0.0683	558	242	PASS
sample494	1	0.0507	414	290	PASS
sample495	1	0.0806	658	174	PASS
sample496	1	0.0622	508	247	PASS
sample497	1	0.079	645	167	PASS
sample498	1	0.0713	582	201	PASS
sample499	1	0.0795	649	136	PASS
sample500	1	0.0769	628	164	PASS
